ace_,double_fault_,first_serve_,fast_win_,return_depth_,winner_,nat_pt_won_,distance,unf_err_,rally_,scored_last_point,score_diff,break_point_diff,speed_mph,game_victor,set victor
0,0,1,0,1,0,0,-0.5111749999999999,0,0.0,0,-0.3333333333333333,0.0,0.64,0,0
0,0,1,0,-1,0,0,0,0,0.0,0,-0.6666666666666666,0.0,0.81,0,0
0,0,1,0,1,1,0,-0.7200249999999999,0,-0.5555555555555556,1,-0.3333333333333333,0.0,0.82,0,0
0,0,1,0,-1,0,0,0,0,0.0,0,-0.6666666666666666,0.0,0.77,0,0
0,0,0,0,1,0,0,-1.1060750000000001,0,-0.6666666666666666,0,-1.0,0.0,0.49,1,0
0,0,1,1,-1,0,0,0,0,0.0,1,0.3333333333333333,0.0,0.75,0,0
0,0,1,0,0,0,0,-0.8727,0,-0.8888888888888888,1,0.6666666666666666,0.0,0.73,0,0
1,0,1,1,-1,1,0,0,0,0.0,1,1.0,0.0,0.63,0,0
0,0,1,1,1,0,0,-0.3775,0,0.0,1,1.3333333333333333,0.0,0.73,2,0
0,0,1,1,1,0,0,-0.311675,0,-0.1111111111111111,1,0.3333333333333333,0.0,0.7,0,0
0,0,1,0,1,0,0,-0.393975,0,0.0,0,0.0,0.0,0.82,0,0
0,0,1,0,-1,0,0,0,0,0.0,0,-0.3333333333333333,0.0,0.74,0,0
0,0,1,0,-1,0,0,0,0,0.0,0,-0.6666666666666666,0.0,0.85,0,0
0,0,1,1,-1,0,0,-0.51475,0,-0.1111111111111111,1,-0.3333333333333333,0.0,0.82,0,0
0,0,1,0,0,0,0,-1,0,-0.6666666666666666,0,-0.6666666666666666,0.0,0.85,1,0
1,0,1,1,-1,1,0,0,0,0.0,1,0.3333333333333333,0.0,0.62,0,0
0,0,1,0,1,0,0,-0.5042500000000001,0,-0.4444444444444444,1,0.6666666666666666,0.0,0.68,0,0
0,0,1,1,0,1,0,-0.4526,0,-0.2222222222222222,1,1.0,0.0,0.57,0,0
0,0,1,1,0,0,1,-0.45887500000000003,0,0.0,1,1.3333333333333333,0.0,0.76,2,0
0,0,1,1,0,0,0,-0.290275,0,-0.1111111111111111,1,0.3333333333333333,0.0,0.84,0,0
0,0,1,0,0,0,0,-0.296925,0,0.0,0,0.0,0.0,0.81,0,0
0,0,1,0,0,0,0,-0.328275,0,0.0,0,-0.3333333333333333,0.0,0.82,0,0
0,0,0,0,1,0,0,-0.45432500000000003,-1,-0.2222222222222222,0,-0.6666666666666666,0.0,0.4,0,0
0,0,1,0,-1,0,0,-0.44015000000000004,0,-0.4444444444444444,0,-1.0,0.0,0.83,1,0
0,0,1,1,-1,0,1,-0.564325,0,-0.2222222222222222,1,0.3333333333333333,0.0,0.58,0,0
0,0,1,0,-1,1,1,-1.1775,0,-0.4444444444444444,1,0.6666666666666666,0.0,0.71,0,0
0,0,0,1,-1,0,0,0,0,0.0,1,1.0,0.0,0.49,0,0
1,0,1,1,-1,1,0,-0.421675,0,0.0,1,1.3333333333333333,0.0,0.73,2,0
0,0,0,0,0,0,0,-1.0459749999999999,0,-0.6666666666666666,0,-0.3333333333333333,0.0,0.55,0,0
0,0,1,0,0,0,0,-0.423325,0,-0.4444444444444444,0,-0.6666666666666666,0.0,0.8,0,0
0,0,1,0,1,0,0,-0.4711,0,0.0,0,-1.0,0.0,0.64,0,0
0,0,1,0,-1,0,0,0,0,0.0,0,-1.3333333333333333,0.0,0.81,1,0
0,0,1,0,0,0,0,-0.71685,0,-0.7777777777777778,0,-0.3333333333333333,0.0,0.7,0,0
0,0,0,1,1,0,0,-0.301975,0,0.0,1,0.0,0.0,0.63,0,0
0,0,0,1,1,0,0,-0.372575,0,0.0,1,0.3333333333333333,0.0,0.46,0,0
0,0,1,0,0,1,1,-0.517925,0,-0.6666666666666666,1,0.6666666666666666,0.0,0.67,0,0
0,0,1,1,-1,0,0,0,0,0.0,1,1.0,0.0,0.75,2,0
0,0,1,0,1,0,0,-1,0,-0.7777777777777778,1,0.3333333333333333,0.0,0.85,0,0
0,0,0,0,0,0,0,-0.8501249999999999,0,-0.7777777777777778,1,0.6666666666666666,0.0,0.51,0,0
0,0,1,0,-1,0,0,-0.458725,0,-0.2222222222222222,0,0.3333333333333333,0.0,0.68,0,0
0,0,1,0,0,0,0,-0.646125,0,-0.6666666666666666,0,0.0,0.0,0.81,0,0
0,0,1,0,-1,0,0,0,0,0.0,0,-0.3333333333333333,0.0,0.81,0,0
0,0,1,1,0,0,0,0,0,-0.1111111111111111,1,0.0,0.0,0.88,0,0
