ace_,double_fault_,first_serve_,fast_win_,return_depth_,winner_,nat_pt_won_,distance,unf_err_,rally_,scored_last_point,score_diff,break_point_diff,speed_mph,game_victor,set victor
0,0,1,0,1,0,0,-0.266525,0,0.0,0,-0.3333333333333333,0.0,0.61,0,0
0,0,1,0,0,0,0,-0.58755,0,-0.3333333333333333,1,0.0,0.0,0.76,0,0
0,0,0,1,0,1,0,0,0,-0.1111111111111111,1,0.3333333333333333,0.0,0.52,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.7,0,0
0,0,1,1,0,0,0,-0.447025,0,-0.1111111111111111,1,0.3333333333333333,0.0,0.58,0,0
0,0,1,0,1,0,0,-0.30732499999999996,0,0.0,0,0.0,-0.5,0.77,0,0
0,0,1,0,0,0,0,-0.707075,0,-0.4444444444444444,0,-0.3333333333333333,0.0,0.61,0,0
0,0,1,0,1,0,0,-0.704475,0,-0.5555555555555556,1,0.0,0.0,0.74,0,0
0,0,1,0,1,0,0,-0.8528749999999998,-1,-0.6666666666666666,0,-0.3333333333333333,0.0,0.77,0,0
0,0,1,0,0,0,0,-0.34852500000000003,0,0.0,0,-0.6666666666666666,0.0,0.75,2,0
0,0,1,0,0,0,0,-0.26349999999999996,-1,-0.1111111111111111,0,-0.3333333333333333,0.0,0.73,0,0
0,0,1,0,0,0,0,-0.5454749999999999,0,-0.5555555555555556,0,-0.6666666666666666,0.0,0.69,0,0
0,0,0,0,1,0,0,-0.66205,-1,-0.5555555555555556,0,-1.0,0.0,0.57,0,0
0,0,1,1,0,0,0,-0.3719,0,-0.2222222222222222,1,-0.6666666666666666,0.0,0.71,0,0
0,0,1,1,0,1,0,-0.31595,0,-0.2222222222222222,1,-0.3333333333333333,0.0,0.78,0,0
0,0,0,0,1,0,0,-0.6719999999999999,0,-0.3333333333333333,0,-0.6666666666666666,0.0,0.51,2,0
0,0,1,0,1,0,0,-0.62695,-1,-0.4444444444444444,0,-0.3333333333333333,0.0,0.72,0,0
0,0,0,0,1,0,0,-0.870125,0,-0.7777777777777778,1,0.0,0.0,0.57,0,0
0,0,0,0,1,0,0,-0.924525,0,-0.7777777777777778,1,0.3333333333333333,0.0,0.35,0,0
0,0,0,0,0,0,0,-1,0,-1,0,0.0,0.0,0.38,0,0
0,0,1,0,0,0,0,-1,0,-0.4444444444444444,0,-0.3333333333333333,0.0,0.71,0,0
0,0,1,0,-1,0,0,0,0,0.0,0,-0.6666666666666666,0.0,0.71,2,0
0,0,1,0,1,0,0,-0.43194999999999995,0,-0.1111111111111111,0,-0.3333333333333333,0.0,0.58,0,0
0,0,1,1,0,0,0,0,0,0.0,1,0.0,0.0,0.78,0,0
0,0,1,0,1,0,0,-0.8966249999999999,0,-0.5555555555555556,0,-0.3333333333333333,0.0,0.78,0,0
0,0,1,0,1,0,0,-0.8186,-1,-0.7777777777777778,0,-0.6666666666666666,0.0,0.67,0,0
0,0,0,1,1,0,0,-0.43417500000000003,0,-0.2222222222222222,1,-0.3333333333333333,0.0,0.6,0,0
0,0,1,1,0,1,0,-0.267075,0,0.0,1,0.0,0.0,0.78,0,0
0,0,0,0,0,0,0,-1.0114,0,-1.0,0,-0.3333333333333333,0.0,0.48,0,0
0,0,0,0,0,0,0,-0.401675,0,-0.1111111111111111,0,-0.6666666666666666,0.0,0.45,2,0
0,0,1,0,1,0,0,-0.27182500000000004,0,0.0,0,-0.3333333333333333,0.0,0.58,0,0
0,0,1,0,1,0,0,-0.450725,-1,-0.2222222222222222,0,-0.6666666666666666,0.0,0.76,0,0
0,0,1,0,0,1,0,-0.47240000000000004,0,-0.3333333333333333,1,-0.3333333333333333,0.0,0.61,0,0
0,0,1,0,1,0,0,-0.78915,-1,-0.4444444444444444,0,-0.6666666666666666,0.0,0.75,0,0
0,0,1,0,-1,0,0,-0.482425,0,-0.2222222222222222,0,-1.0,0.0,0.71,2,0
