a,b,c
1,-0.272391975,0.218516667
2,0.035580784,-0.0453525
3,-0.236103437,0.214103446
4,-0.105188802,-0.069066441
5,0.28253724,-0.126199887
6,0.030255373,0.1
7,0.255201218,-0.252245417
8,-0.073045779,0.092119324
9,0.060746271,-0.158556813
10,0.219659498,-0.376314009
11,-0.067779216,0.359454994
12,0.128610339,-0.030583903
13,0.271768255,-0.201880492
14,0.022182309,0.062471198
15,-0.126199887,0.287112974
16,0.10184178,0.096699619
17,-0.205085417,0.220829791
18,-0.409060833,0.313521841
19,0.294742308,-0.128512872
20,0.282041744,-0.444264539
21,0.145206647,-0.085517387
22,0.09041625,-0.411356441
23,0.510430072,-0.435733107
24,-0.289803863,0.170451722
25,-0.42471875,0.32169246
26,-0.557133446,0.583024216
27,-0.841451476,0.664450637
28,0.150385709,-0.214626521
29,0.42456558,-0.32242862
30,0.482768397,-0.56571125
31,0.262667155,-0.278202083
32,0.077983675,-0.092724887
33,-0.121388879,0.119287309
34,-0.005927289,-0.160016328
35,0.305300773,-0.266585495
36,-0.277703114,0.264882123
37,-0.050388418,-0.152504287
38,-0.170506137,0.195973905
39,-0.292866554,0.383331496
40,-0.49719447,0.561876658
41,0.021505673,-0.227021857
42,0.335156533,-0.40005072
43,0.497386131,-0.576827917
44,0.210173491,-0.29827322
45,0.288776092,-0.532781441
46,-0.166996137,0.309672072
47,0.1,0.033463221
48,-0.207133446,0.271743711
49,-0.02610928,-0.138895423
50,0.17735638,-0.331057946
51,0.404451076,-0.450656894
52,0.257370732,-0.061932995
53,-0.022200778,0.157768672
54,0.28394878,-0.086951328
55,-0.043660443,0.118301059
56,0.210472185,-0.188146137
57,-0.034593611,0.01049447
58,0.037262173,-0.296982917
59,-0.12532117,0.043080864
60,-0.256975791,0.29345875
61,-0.021597793,-0.025877742
62,0.288109258,-0.088046092
63,0.328903128,-0.4422725
64,-0.148735805,0.237284206
65,-0.396336031,0.425626613
66,-0.580933559,0.63831837
67,-0.760870946,0.674310545
68,0.346188894,-0.189202585
69,0.456921923,-0.373800113
70,0.214065699,-0.046443733
71,-0.228988926,0.031765242
72,0.252653469,-0.105976954
73,-0.076072276,0.03158875
74,-0.19241407,0.213334167
75,-0.369842036,0.415337613
76,-0.192085304,0.250163061
77,-0.348036554,0.354592437
78,-0.478271441,0.531178465
79,-0.745064774,0.434815047
80,-0.377928797,0.184009409
81,0.03919451,-0.01268197
82,0.305096338,-0.166666667
83,-0.121774258,-0.072035
84,-0.156568928,0.227727961
85,0.030068276,-0.002981092
86,0.152513683,-0.248111205
87,0.154205619,-0.491004887
88,-0.181012578,0.124718216
89,-0.272956745,0.342903668
90,-0.068511424,0.079405678
91,0.044822742,-0.155155818
92,0.199714409,-0.374898635
93,-0.053252691,-0.092931169
94,0.138747196,-0.365569345
95,-0.11985375,0.044189217
96,-0.208707917,0.302726112
97,-0.469908863,0.329901104
98,-0.153347059,0.271723491
99,0.116753931,0.037085574
100,-0.175497588,0.224494167
101,0.13112691,0
102,0.152910631,-0.218119887
103,-0.109134912,0.051156492
104,0.25640899,-0.186410704
105,0.457857421,-0.35357718
106,0.239340895,-0.193870312
107,-0.039890704,0.006582761
108,-0.151544661,0.136681323
109,-0.394176137,0.389459397
110,-0.253200833,0.138165293
111,-0.09046678,-0.214695953
112,0.164100946,-0.364422719
113,-0.02116822,-0.002677901
114,-0.226496857,0.076168227
115,0.105329809,-0.035869011
116,0.231226476,-0.263637165
117,0.418172613,-0.345202416
118,0.309672072,-0.264266893
119,0.420405102,-0.35
120,0.461246561,-0.512315607
121,0.60087741,-0.668328524
122,0.27622138,-0.197640963
123,0.020222933,0.168640016
124,-0.166666667,0.305096338
125,-0.381074583,0.478069482
126,-0.551655191,0.4626238
127,0.24644487,-0.121876424
128,-0.057465425,0.026651059
129,0.268579517,-0.102399774
130,0.145075183,-0.45953322
131,0.095589885,-0.191532613
132,0.230042738,-0.483142613
133,-0.126199887,0.352821944
134,-0.338901554,0.472291186
135,-0.085997387,0.119486576
136,-0.379356024,0.272303638
137,-0.419066441,0.432749109
138,0.220657606,-0.212480417
139,0.431198631,-0.292866554
140,0.567654953,-0.45953322
141,0.529255819,-0.845436667
142,-0.276199887,0.043472589
143,0.118214363,0.00162803
144,0.043472589,-0.276199887
145,-0.01305697,0.104654924
146,-0.207133446,0.334980109
147,-0.023450724,-0.023146104
148,0.277002819,-0.156913204
149,-0.038772889,0.1235637
150,-0.207010304,0.210537682
151,-0.009497314,-0.08191822
152,0.320404814,-0.173596137
153,0.004808508,0.073646184
154,-0.167940372,0.328449404
155,-0.383437611,0.358380445
156,0.068483761,-0.292866554
157,-0.118978773,0.027854724
158,0.227486961,-0.124935692
159,-0.070453739,0.074078361
160,0.23522689,-0.166928637
161,0.304747969,-0.370679054
162,0.099099498,-0.259970181
163,-0.035214139,0.122435344
164,-0.298735805,0.163925025
165,0.08620428,0.045594571
166,0.221175946,-0.199426376
167,-0.061695,0.049170936
168,0.176988637,-0.165800382
169,-0.16172303,0.087334108
170,-0.223779167,0.198151985
171,-0.00369553,-0.006427174
172,-0.251372196,0.265110661
173,-0.455167613,0.268387529
174,0.131783228,-0.222108592
175,0.344091993,-0.385633289
176,0.00792783,-0.148229454
177,-0.086351881,0.086660963
178,0.119459207,-0.142521841
179,0.31152616,-0.379770191
180,0.23071085,-0.234101473
181,0.391628479,-0.426564863
182,0.156438992,-0.137723236
183,0.494044939,-0.297003951
184,0.550960643,-0.508445232
185,0.337452681,-0.142866554
186,0.493438745,-0.292866554
187,0.384616741,-0.639411667
188,0.274459022,-0.25
189,0.482855741,-0.597600226
190,0.224570963,-0.247798284
191,-0.020243846,0.119918126
192,-0.166666667,0.256374448
193,0.082928891,-0.058368275
194,-0.117849746,0.185914762
195,-0.338243192,0.356684483
196,0.298463288,-0.248011431
197,0.361149103,-0.433295502
198,0.456405571,-0.594827917
199,0.709126509,-0.723800113
200,-0.149919454,0.282952495
201,0.113323463,0.00083819
202,-0.276199887,0.025176315
203,-0.059552067,-0.24850011
204,0.22672513,-0.223433058
205,0.020222933,0.141920439
206,-0.207133446,0.314893583
207,-0.454733672,0.514586303
208,0.226941336,-0.32067008
209,0.369709375,-0.495462709
210,0.579799235,-0.516666667
211,0.25126627,-0.32715625
212,0.41008105,-0.506356857
213,0.026855191,-0.17718792
214,-0.08191125,-0.009793053
215,-0.218799167,0.170360357
216,-0.338571554,0.375477114
217,-0.54046678,0.610537761
218,0.092065285,-0.221737342
219,0.023109191,0.120222933
220,-0.263325614,0.098197387
221,0.07205099,-0.08679053
222,-0.190198452,0.226819167
223,-0.515240847,0.249189583
224,-0.300033863,0.231768786
225,-0.024613559,0.029649229
226,-0.294452196,0.194301409
227,-0.408457083,0.325034639
228,-0.138046092,-0.013929886
229,0.058441104,-0.221172703
230,0.3236658,-0.308422332
231,-0.05640322,-0.030850632
232,-0.255414167,0.151514924
233,-0.005623846,-0.036319879
234,-0.226213733,0.323221217
235,0.047667117,-0.015826732
236,0.2060171,-0.184342507
237,-0.020243846,0.126551176
238,-0.355633446,0.02071119
239,-0.07233178,-0.062860866
240,-0.188884887,0.212959768
241,-0.314818524,0.347007061
242,0.171060138,-0.212146667
243,-0.034627223,0.05612875
244,-0.129712678,0.226199887
245,-0.374217787,0.379858333
246,-0.112138489,0.116214167
247,0.037418164,-0.11595375
248,0.242069293,-0.303036476
249,0.253700555,-0.534287309
250,-0.119016813,0.219090865
251,0.08029428,0.044115221
252,-0.234860417,0.21094146
253,-0.413429583,0.354888856
254,-0.131586667,0.229374176
255,0.003895,-0.086808623
256,-0.250833333,0.120832918
257,-0.39046678,0.419848317
258,-0.233772394,0.17231157
259,-0.099373811,-0.040839454
260,0.209503597,-0.102399774
261,0.248424814,-0.45705447
262,0.591447519,-0.54046678
263,0.154820461,-0.262391059
264,0.454985546,-0.222462344
265,0.245114505,-0.027331726
266,0.474685643,-0.293771466
267,0.143218446,-0.013069952
268,0.372857083,-0.292448335
269,0.074205836,-0.31206843
270,0.370057559,-0.41504
271,0.148356729,-0.110009167
272,0.375843691,-0.373800113
273,0.502800738,-0.58021678
274,-0.171042387,0.299318042
275,0.081288559,-0.085244626
276,-0.126199887,0.293746024
277,-0.406087083,0.382518312
278,-0.640604167,0.424519907
279,0.218242123,-0.185824122
280,0.321243843,-0.40457375
281,0.056440989,-0.172298333
282,0.149155341,-0.48476322
283,0.101435108,-0.065447387
284,-0.085880562,0.02951928
285,0.188056305,-0.196966137
286,0.42456558,-0.292866554
287,-0.179855704,0.214751756
288,0.139516921,-0.058055778
289,-0.224770276,0.109621137
290,0.115168171,-0.033025824
291,0.209671476,-0.257525705
292,0.532154105,-0.324449483
293,-0.303115345,0.213048559
294,0.008868375,-0.0943125
295,0.05270694,-0.323641667
296,-0.010078102,0.00597947
297,-0.295602157,0.1368896
298,0.147492457,0.020222933
299,0.195360185,-0.287376233
300,0.451143628,-0.376525833
1,0.196744167,-0.268141559
2,-0.043485,0.097220844
3,-0.276199887,-0.024339543
4,0.096314809,-0.039785599
5,0.347600226,-0.15945492
6,0.00141428,0.083401304
7,-0.166666667,0.250596152
8,0.05177553,-0.035732389
9,-0.085733107,0.28394878
10,0.14062745,-0.118274193
11,-0.108269026,0.320465601
12,-0.376907359,0.298786428
13,0.236619492,-0.196611233
14,0.340184914,-0.397818333
15,0.53975253,-0.5579525
16,0.702493459,-0.626199887
17,-0.146443733,0.24966917
18,0.035898559,-0.067528848
19,-0.200059887,0.271743711
20,-0.292791024,0.397846004
21,-0.55354572,0.481902059
22,0.169018172,-0.235024887
23,0.395424854,-0.347140304
24,0.041919686,-0.157712917
25,0.239839593,-0.4604375
26,0.435545949,-0.520641137
27,-0.166666667,0.267583233
28,-0.373514583,0.420405102
29,-0.090984887,0.064759695
30,-0.292866554,0.404479054
31,-0.50239947,0.530581347
32,0.125553365,-0.212941954
33,-0.131282185,0.065343559
34,0.191687495,-0.132304357
35,0.410051072,-0.252399774
36,0.498900931,-0.54877197
37,-0.191692055,0.331674385
38,-0.315402472,0.472291186
39,-0.539585,0.598393479
40,-0.707133446,0.74564333
41,-0.303829698,0.16305388
42,0.146496173,0.060689713
43,-0.307732448,0.150270946
44,-0.322334778,0.381647083
45,-0.510375572,0.59407553
46,0.184103333,-0.136753768
47,-0.058299167,0.13775996
