ace_,double_fault_,first_serve_,fast_win_,return_depth_,winner_,nat_pt_won_,distance,unf_err_,rally_,break_point_diff,speed_mph
0,0,0,1,0,0,0,-0.321,0,-0.1111111111111111,0.0,0.45
0,0,1,0,0,0,0,-0.30235,0,0.0,0.0,0.68
0,0,1,0,1,0,0,-0.6202,0,-0.3333333333333333,0.0,0.7
0,0,1,0,1,0,0,-1,0,-1,0.0,0.8
0,0,1,0,-1,0,0,0,0,0.0,0.0,0.62
0,0,0,1,0,0,0,0,0,-0.1111111111111111,0.0,0.47
0,0,1,0,1,0,0,-0.5705250000000001,0,0.0,0.0,0.59
0,0,0,0,0,1,1,-0.576675,0,-0.5555555555555556,0.0,0.55
0,0,1,0,1,0,0,-0.73985,0,-0.6666666666666666,0.0,0.78
0,0,1,0,0,0,0,-0.810675,0,-0.4444444444444444,0.0,0.6
1,0,1,1,1,1,0,0,0,0.0,0.0,0.62
0,0,1,0,1,0,0,-0.5811,0,-0.3333333333333333,0.0,0.8
0,0,1,0,1,0,0,-0.59065,-1,-0.3333333333333333,0.0,0.7
0,0,1,1,0,1,0,-0.3028,0,-0.2222222222222222,0.0,0.78
0,0,1,1,0,0,0,0,0,0.0,0.0,0.8
0,0,0,0,1,0,0,0,0,-0.1111111111111111,0.0,0.47
0,0,1,1,-1,0,0,-0.26247499999999996,0,0.0,0.0,0.74
0,0,1,1,0,1,1,-0.53985,0,-0.2222222222222222,0.0,0.66
0,0,1,0,-1,0,0,0,0,0.0,0.0,0.76
0,0,1,0,1,0,0,-0.9939,0,-0.4444444444444444,0.0,0.77
0,0,1,1,1,0,0,-0.39544999999999997,0,-0.1111111111111111,0.0,0.64
0,0,1,0,0,0,0,-0.9486000000000001,-1,-0.8888888888888888,0.0,0.77
0,0,0,0,1,0,0,0,0,0.0,0.0,0.53
0,0,0,1,0,0,0,-0.46782500000000005,0,-0.2222222222222222,0.0,0.57
0,0,1,1,0,0,0,-0.4744,0,-0.2222222222222222,0.0,0.61
1,0,1,1,-1,1,0,0,0,0.0,0.0,0.75
